Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,
wpn_freezegun_fire_pap_plr_last,,loaded,wpn\pap\systemized\plr\wpn_pap_first.wav,,,,,wpn_freezegun_fire_plr_last,,,BUS_FX,grp_weapon,snp_wpn_1p,,50,0,75,75,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,-34,34,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_fire_pap_npc,,loaded,wpn\pap\systemized\npc\wpn_pap_first.wav,,,,,wpn_freezegun_fire_npc,,,BUS_FX,grp_weapon,snp_wpn_3p,,50,0,60,60,100,400,8000,allon,default,rcurve1,default,3,oldest,3,oldest,0,0,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_fire_pap_npc_last,,loaded,wpn\pap\systemized\npc\wpn_pap_first.wav,,,,,wpn_freezegun_fire_npc_last,,,BUS_FX,grp_weapon,snp_wpn_3p,,50,0,60,60,100,400,8000,allon,default,rcurve1,default,3,oldest,3,oldest,0,0,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_dryfire_npc,,loaded,wpn\lmg\dry_fire\npc\dry_fire_00.wav,,,,,,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,65,0,77,77,800,6000,6000,defaultmin,default,alloff,rcurve3,8,priority,3,oldest,0,0,40,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,2500,4000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_dryfire_plr,,loaded,wpn\lmg\dry_fire\plr\dry_fire_00.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_1p_shot,,65,0,86,86,0,10000,10000,allon,default,allon,default,8,priority,3,oldest,0,0,90,90,0.25,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,

wpn_freezegun_impact_zombie,,loaded,wpn\energy\freezegun\projectile\impact\impact_00.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_impact_zombie,,loaded,wpn\energy\freezegun\projectile\impact\impact_01.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_impact_zombie,,loaded,wpn\energy\freezegun\projectile\impact\impact_02.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_impact_zombie,,loaded,wpn\energy\freezegun\projectile\impact\impact_03.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,

wpn_freezegun_freeze_zombie,,loaded,wpn\energy\freezegun\projectile\freeze\freeze_00.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_freeze_zombie,,loaded,wpn\energy\freezegun\projectile\freeze\freeze_01.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_freeze_zombie,,loaded,wpn\energy\freezegun\projectile\freeze\freeze_02.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,

wpn_freezegun_shatter_zombie,,loaded,wpn\energy\freezegun\zombie\shatter\shatter_00.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_shatter_zombie,,loaded,wpn\energy\freezegun\zombie\shatter\shatter_01.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_shatter_zombie,,loaded,wpn\energy\freezegun\zombie\shatter\shatter_02.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,

wpn_freezegun_collapse_zombie,,loaded,wpn\energy\freezegun\zombie\collapse\collapse_00.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_collapse_zombie,,loaded,wpn\energy\freezegun\zombie\collapse\collapse_01.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_collapse_zombie,,loaded,wpn\energy\freezegun\zombie\collapse\collapse_02.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,80,0,85,91,250,8000,8000,allon,default,rcurve1,default,10,priority,3,oldest,-34,34,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,yes,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,

fly_freezegun_first_raise,,loaded,wpn\energy\freezegun\_t8\reload\fly_freezegun_first_raise.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,80,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_freezegun_mag_in,,loaded,wpn\energy\freezegun\_t8\reload\fly_freezegun_mag_in.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,80,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_freezegun_mag_release,,loaded,wpn\energy\freezegun\_t8\reload\fly_freezegun_mag_release.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,80,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
